week,aircraft,motor,is_leased
1,EC-2301-70_AV,EC-2301-70,False
1,EC-3899-70_AV,EC-3899-70,False
1,EC-3965-29_AV,EC-3965-29,False
1,EC-9113-12_AV,EC-9113-12,False
1,EC-4853-60_AV,EC-4853-60,False
1,EC-5935-27_AV,EC-5935-27,False
1,EC-1067-41_AV,EC-1067-41,False
1,EC-8525-14_AV,EC-8525-14,False
1,EC-1122-28_AV,EC-1122-28,False
1,EC-7793-96_AV,EC-7793-96,False
1,EC-9822-46_AV,EC-9822-46,False
1,EC-4189-68_AV,EC-4189-68,False
1,EC-9253-74_AV,EC-9253-74,False
1,EC-3253-19_AV,EC-3253-19,False
1,EC-5124-62_AV,EC-5124-62,False
1,EC-2480-30_AV,EC-2480-30,False
1,EC-2052-63_AV,EC-2052-63,False
1,EC-8231-95_AV,EC-8231-95,False
1,EC-4013-21_AV,EC-4013-21,False
1,EC-6738-76_AV,EC-6738-76,False
1,EC-9388-88_AV,EC-9388-88,False
1,EC-2312-61_AV,EC-2312-61,False
1,EC-3248-32_AV,EC-3248-32,False
1,EC-1287-41_AV,EC-1287-41,False
1,EC-9446-77_AV,EC-9446-77,False
1,EC-5384-67_AV,EC-5384-67,False
1,EC-4753-61_AV,EC-4753-61,False
1,EC-4486-20_AV,EC-4486-20,False
1,EC-9631-61_AV,EC-9631-61,False
1,EC-6665-17_AV,EC-6665-17,False
1,EC-3706-32_AV,EC-3706-32,False
1,EC-3819-97_AV,EC-3819-97,False
1,EC-4815-90_AV,EC-4815-90,False
1,EC-1839-66_AV,EC-1839-66,False
1,EC-5775-28_AV,EC-5775-28,False
1,EC-8905-26_AV,EC-8905-26,False
1,EC-8369-34_AV,EC-8369-34,False
1,EC-8354-27_AV,EC-8354-27,False
1,EC-4400-73_AV,EC-4400-73,False
1,EC-7492-23_AV,EC-7492-23,False
1,EC-2131-62_AV,EC-2131-62,False
1,EC-2475-34_AV,EC-2475-34,False
1,EC-1593-95_AV,EC-1593-95,False
1,EC-4470-50_AV,EC-4470-50,False
1,EC-6535-46_AV,EC-6535-46,False
1,EC-7725-79_AV,EC-7725-79,False
